i sys itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_qps target_qps time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
0 ebbrt_tuned 20 0xf00 55 40.1 41.7 49.5 62.0 65.9 74.2 74942.2 75000 20.0 974.59 2806721 324921499 4161627 380842654 14502107800.0 55395850879.0 120933520600.0 78013251.0 0.0 0.0 0.0 0.0 512944.0 3974851
0 ebbrt_tuned 30 0xf00 135 39.8 41.5 47.9 62.0 66.5 77.2 40021.2 40000 20.0 940.1 1570648 178343669 2222836 204423872 7974018132.0 32621077745.0 72677682478.0 43073507.0 0.0 0.0 0.0 0.0 501598.0 2230518
0 ebbrt_tuned 30 0xf00 75 41.2 41.8 48.4 62.4 67.1 77.9 39959.8 40000 20.0 940.97 1568817 177599836 2219544 202899457 7979103710.0 32729094901.0 72904845597.0 43211752.0 0.0 0.0 0.0 0.0 502222.0 2230219
0 ebbrt_tuned 30 0xf00 55 41.5 42.2 49.0 63.1 68.0 78.1 40077.0 40000 20.0 942.47 1573487 178463115 2224650 204256788 8000379666.0 32847249625.0 73160812125.0 44303848.0 0.0 0.0 0.0 0.0 501836.0 2236907
0 ebbrt_tuned 30 0xf00 135 39.6 41.5 50.6 66.0 71.8 81.4 75096.8 75000 20.0 972.22 2806988 325510014 4169620 379989011 14490144397.0 54360107050.0 118986671575.0 77332088.0 0.0 0.0 0.0 0.0 506464.0 3822891
0 ebbrt_tuned 30 0xf00 75 41.1 42.1 51.2 66.4 72.2 81.9 74967.8 75000 20.0 973.92 2802728 324840511 4161356 378614018 14472755026.0 54692989317.0 119682642430.0 79526470.0 0.0 0.0 0.0 0.0 504365.0 3815628
0 ebbrt_tuned 30 0xf00 55 40.6 41.9 51.0 66.1 71.9 81.0 75199.6 75000 20.0 968.43 2810015 326398786 4175028 381948350 14501688495.0 54572904052.0 119419705752.0 80573744.0 0.0 0.0 0.0 0.0 504505.0 3822081
0 ebbrt_tuned 40 0xf00 135 41.2 41.9 49.1 68.1 75.5 86.4 39987.8 40000 20.0 938.61 1567832 177931775 2221356 203917896 7962259910.0 32416458585.0 72323033358.0 42904095.0 0.0 0.0 0.0 0.0 502801.0 2144484
0 ebbrt_tuned 40 0xf00 75 41.2 42.0 49.2 67.9 75.3 86.5 40089.3 40000 20.0 939.3 1572511 178333043 2225764 203429505 7959752705.0 32350722627.0 72180270737.0 43033841.0 0.0 0.0 0.0 0.0 499665.0 2141388
0 ebbrt_tuned 40 0xf00 55 40.4 41.7 49.0 68.0 75.2 86.2 40035.5 40000 20.0 939.57 1570458 178218504 2223104 203260975 7970434512.0 32476538933.0 72449292775.0 43731864.0 0.0 0.0 0.0 0.0 501395.0 2139282
0 ebbrt_tuned 40 0xf00 135 40.4 42.0 52.7 74.4 79.8 90.3 74971.8 75000 20.0 972.11 2794243 324933940 4164920 383128247 14417678618.0 53775043141.0 117922255836.0 79035624.0 0.0 0.0 0.0 0.0 503949.0 3562784
0 ebbrt_tuned 40 0xf00 75 40.0 41.9 52.8 74.2 79.6 90.2 75002.7 75000 20.0 970.0 2793818 324705185 4164024 379540666 14381809409.0 53374849297.0 117095104206.0 76747521.0 0.0 0.0 0.0 0.0 503474.0 3553412
0 ebbrt_tuned 40 0xf00 55 40.8 42.1 53.0 74.5 79.7 90.8 75200.6 75000 20.0 970.19 2802756 326072440 4175952 382257482 14463834848.0 53886283680.0 118161036152.0 80287370.0 0.0 0.0 0.0 0.0 504057.0 3569249
0 ebbrt_tuned 50 0xf00 135 41.3 42.1 50.0 75.7 83.8 95.1 39999.6 40000 20.0 938.71 1568303 178255041 2221047 203845674 7972932321.0 32141756168.0 71789570325.0 44913558.0 0.0 0.0 0.0 0.0 502501.0 2070618
0 ebbrt_tuned 50 0xf00 75 40.7 41.8 49.7 75.1 83.2 94.5 40057.6 40000 20.0 939.36 1570152 177965343 2224197 204066017 7983598619.0 32017875481.0 71534535741.0 44098261.0 0.0 0.0 0.0 0.0 501597.0 2067603
0 ebbrt_tuned 50 0xf00 55 41.7 42.7 50.8 76.4 84.4 95.7 40003.2 40000 20.0 938.74 1568347 178055330 2222199 203587654 7964169024.0 31779488984.0 71013455911.0 43948321.0 0.0 0.0 0.0 0.0 499694.0 2062348
0 ebbrt_tuned 50 0xf00 135 41.7 42.9 55.3 82.9 88.6 100.0 75070.8 75000 20.0 968.15 2789813 324606370 4169510 382647504 14383691389.0 52253373162.0 114899963445.0 77509115.0 0.0 0.0 0.0 0.0 507916.0 3336374
0 ebbrt_tuned 50 0xf00 75 41.7 43.1 55.6 82.6 88.4 100.0 74951.1 75000 20.0 968.22 2786513 323809227 4162011 381064282 14345367049.0 52303100814.0 114982190190.0 77833234.0 0.0 0.0 0.0 0.0 505839.0 3324479
0 ebbrt_tuned 50 0xf00 55 41.7 42.9 55.3 82.1 87.8 98.6 74967.9 75000 20.0 967.37 2785258 324143280 4162244 381746346 14351597545.0 52202194674.0 114756645358.0 79501220.0 0.0 0.0 0.0 0.0 505462.0 3324378
0 ebbrt_tuned 100 0xf00 135 41.4 42.5 59.0 123.4 133.1 146.7 39991.9 40000 20.0 934.75 1557825 177474269 2221309 203767052 7887961771.0 30782677225.0 69632573496.0 41907237.0 0.0 0.0 0.0 0.0 505629.0 1789056
