i sys itr dvfs rapl read_5th read_10th read_50th read_90th read_95th read_99th measure_qps target_qps time joules rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c1 c1e c3 c6 c7 num_interrupts
0 linux_tuned 50 0xd00 135 82.4 93.3 159.3 610.0 1154.6 2707.7 599900.3 600000 20.01 1313.93 12646670 2161645604 34752728 2872598041 212261460521.0 380090022945.0 847900514823.0 838639767.0 1568848.0 71782.0 316.0 0.0 3382.0 6169252
0 linux_tuned 50 0xd00 95 82.8 93.7 161.3 622.9 1164.5 2730.4 599917.2 600000 20.01 1314.36 12645482 2162670248 34731086 2868457797 211894876788.0 380312614875.0 848395709572.0 848958306.0 1546730.0 73672.0 298.0 0.0 3108.0 6170905
0 linux_tuned 50 0xd00 55 83.0 93.8 160.8 588.5 1144.2 2639.8 600087.4 600000 20.0 1314.86 12649115 2160580236 34744975 2862649418 212036630644.0 380897373495.0 849700819163.0 860719684.0 1545707.0 69343.0 299.0 0.0 3026.0 6170110
0 linux_tuned 100 0xd00 135 67.1 74.9 117.1 157.6 167.5 185.0 199834.8 200000 20.0 1092.58 4825862 760794323 12056336 963059398 95967377752.0 188247604603.0 420135067973.0 239626738.0 1101018.0 2484461.0 118089.0 0.0 298711.0 3017019
0 linux_tuned 100 0xd00 95 66.9 74.7 117.3 157.1 166.9 184.3 200008.2 200000 20.0 1091.97 4827913 762085875 12068639 965048041 95891754475.0 187778028149.0 419120629732.0 236307516.0 1051401.0 2496606.0 117602.0 0.0 300902.0 3015736
0 linux_tuned 100 0xd00 55 67.4 75.5 117.6 158.4 168.0 186.2 200162.4 200000 20.0 1095.09 4831243 762001144 12074175 960869249 96061173656.0 188484117680.0 420661928199.0 239481350.0 1110140.0 2483426.0 117435.0 0.0 300699.0 3017581
0 linux_tuned 100 0xd00 135 81.1 90.7 136.4 186.4 207.1 285.6 400259.4 400000 20.01 1226.28 8510326 1447294302 23995457 1926294874 161978928524.0 307467751892.0 685908187369.0 602785694.0 2178213.0 1052913.0 16329.0 0.0 36594.0 3115674
0 linux_tuned 100 0xd00 95 80.6 90.5 135.8 186.0 207.5 292.9 400172.0 400000 20.0 1225.14 8510325 1447285515 23991908 1922281377 162051247797.0 307331990512.0 685604887128.0 602685408.0 2170155.0 1059567.0 16387.0 0.0 36621.0 3115791
0 linux_tuned 100 0xd00 55 81.1 91.1 136.7 187.9 211.0 307.7 400150.1 400000 20.0 1323.29 8510285 1446058602 23985056 1915424415 161649254581.0 308303846145.0 687774616784.0 617545848.0 2140361.0 1051972.0 16325.0 0.0 36958.0 3115782
0 linux_tuned 100 0xd00 135 98.0 111.4 176.1 459.4 867.8 1981.6 599938.8 600000 20.01 1298.9 12766012 2169603733 35022596 2876977228 211313547653.0 365796005921.0 816014230112.0 846575483.0 1264306.0 348201.0 3771.0 0.0 9134.0 3118253
0 linux_tuned 100 0xd00 95 96.8 109.8 175.0 462.5 872.5 2080.2 599929.8 600000 20.0 1298.1 12764246 2168526889 35035399 2871606535 211440010223.0 365567054935.0 815503479357.0 848188818.0 1267020.0 358490.0 3623.0 0.0 8957.0 3117919
0 linux_tuned 100 0xd00 55 98.3 111.0 176.4 469.1 849.6 2010.6 600028.2 600000 20.0 1298.56 12763250 2168787856 35042018 2868892725 211481181662.0 365790105900.0 816001049409.0 847127767.0 1262762.0 355482.0 3740.0 0.0 8880.0 3117964
0 linux_tuned 200 0xd00 135 86.6 100.6 180.9 256.3 270.5 297.3 199810.4 200000 20.0 1073.85 4620377 746926956 12021381 960170997 88887768973.0 169741239440.0 379877243729.0 225290139.0 341506.0 1532413.0 255425.0 0.0 613797.0 1559355
0 linux_tuned 200 0xd00 95 85.4 99.6 179.8 254.9 269.7 297.0 200113.8 200000 20.0 1075.59 4631349 749319004 12042588 960268175 89319083566.0 170914691156.0 382414082964.0 230488790.0 368393.0 1575335.0 252139.0 0.0 601082.0 1559236
0 linux_tuned 200 0xd00 55 86.6 100.8 180.1 255.0 269.6 296.0 199884.1 200000 20.0 1072.75 4623833 747188873 12026681 961496211 88612933453.0 168642330521.0 377453238303.0 221578628.0 322240.0 1495183.0 255008.0 0.0 615332.0 1559316
0 linux_tuned 200 0xd00 135 97.4 111.9 193.3 272.1 293.8 355.0 400171.7 400000 20.01 1196.58 8509142 1446018889 23878345 1921521845 156586788361.0 277233777037.0 618492127837.0 531717395.0 1122373.0 1320962.0 82930.0 0.0 181374.0 1562698
0 linux_tuned 200 0xd00 95 98.5 113.8 194.8 273.6 296.0 349.5 399954.6 400000 20.0 1195.54 8507084 1447472653 23863777 1923393975 156099010725.0 277197336197.0 618655747490.0 545393489.0 1039864.0 1290352.0 89134.0 0.0 195378.0 1562628
0 linux_tuned 200 0xd00 55 97.7 113.1 193.8 273.0 295.3 349.2 399995.6 400000 20.0 1195.17 8507409 1446815676 23865249 1922605546 156051316502.0 276374327220.0 616717601191.0 531563953.0 1029846.0 1316197.0 88592.0 0.0 195431.0 1562647
0 linux_tuned 200 0xd00 135 113.2 134.2 232.7 449.5 712.6 1672.0 600219.8 600000 20.0 1279.28 12864893 2176515274 35014857 2872870546 210601936342.0 349295489316.0 779207030289.0 820671999.0 719977.0 639713.0 33498.0 0.0 62244.0 1561225
0 linux_tuned 200 0xd00 95 113.1 134.4 233.3 443.8 722.9 1629.9 600163.2 600000 20.0 1278.89 12866104 2177246430 35018835 2868880002 210519993010.0 348939280211.0 778414513736.0 820796371.0 710082.0 645255.0 33988.0 0.0 63769.0 1561809
0 linux_tuned 200 0xd00 55 114.2 135.9 234.1 457.5 722.6 1607.7 599734.1 600000 20.01 1279.59 12860023 2175269842 34992542 2876491531 210444139119.0 349359722445.0 779359867539.0 824483866.0 706746.0 635711.0 34622.0 0.0 65850.0 1561899
0 linux_tuned 300 0xd00 135 101.1 119.6 240.1 351.6 367.0 401.8 199948.5 200000 20.0 1064.79 4531873 741504729 12003346 961712088 87765425453.0 164554314931.0 368548362119.0 228770424.0 201382.0 1123163.0 287553.0 0.0 703694.0 1041557
0 linux_tuned 300 0xd00 95 100.8 118.9 239.1 350.8 366.4 401.4 200297.2 200000 20.0 1063.26 4539396 743135141 12025074 964932742 87964230735.0 164620412827.0 368680342250.0 227379752.0 209493.0 1123766.0 286129.0 0.0 705668.0 1041585
0 linux_tuned 300 0xd00 55 100.1 118.4 238.3 350.7 366.2 400.5 199966.5 200000 20.0 1062.77 4533088 742118632 12005782 961999039 87630960218.0 163737853976.0 366709645452.0 226460300.0 203269.0 1129643.0 282573.0 0.0 696689.0 1041525
