 rx_bytes_10 rx_bytes_25 rx_bytes_50 rx_bytes_75 rx_bytes_90 rx_bytes_99 rx_desc_10 rx_desc_25 rx_desc_50 rx_desc_75 rx_desc_90 rx_desc_99 tx_bytes_10 tx_bytes_25 tx_bytes_50 tx_bytes_75 tx_bytes_90 tx_bytes_99 tx_desc_10 tx_desc_25 tx_desc_50 tx_desc_75 tx_desc_90 tx_desc_99 instructions_10 instructions_25 instructions_50 instructions_75 instructions_90 instructions_99 llc_miss_10 llc_miss_25 llc_miss_50 llc_miss_75 llc_miss_90 llc_miss_99 cycles_10 cycles_25 cycles_50 cycles_75 cycles_90 cycles_99 ref_cycles_10 ref_cycles_25 ref_cycles_50 ref_cycles_75 ref_cycles_90 ref_cycles_99 joules_99 itr dvfs qps i time_per_interrupt joules_per_interrupt
0 0.0 0.0 66.0 115.0 134.0 523.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 140.0 930.2299999999814 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 2470208584128.68 0.0 0.0 0.0 0.0 0.0 9088363276.17 0.0 0.0 0.0 0.0 0.0 4210686209766.49 0.0 0.0 0.0 0.0 0.0 4710406799837.16 202418832.69999996 4 0x1b00 75000 1_5 105591841.60641316 9837690.851134213
1 0.0 66.0 148.0 275.0 450.0 1336.3600000000006 0.0 1.0 2.0 2.0 3.0 5.0 0.0 0.0 96.0 277.0 624.0 2128.3600000000006 0.0 0.0 3.0 6.0 6.0 12.0 0.0 0.0 0.0 0.0 1700234879887.6 1701576325355.16 0.0 0.0 0.0 0.0 6412113015.4 6415192827.56 0.0 0.0 0.0 0.0 2976629832576.0 2979586290642.32 0.0 0.0 0.0 0.0 3279153599218.0 3283443283046.0 1719759196.48 200 0x1d00 75000 1_1 313479495.72293985 354942086.8433516
2 0.0 0.0 66.0 115.0 135.0 525.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 143.0 937.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7611274204340.38 0.0 0.0 0.0 0.0 0.0 26505285403.48 0.0 0.0 0.0 0.0 0.0 13089318996876.04 0.0 0.0 0.0 0.0 0.0 16045588734048.45 1124785017.1100001 4 0xf00 75000 0_14 627989853.2063097 60855324.09582767
3 0.0 0.0 66.0 122.0 144.0 641.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 96.0 203.0 1080.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7119620806691.2 0.0 0.0 0.0 0.0 0.0 25148482172.6 0.0 0.0 0.0 0.0 0.0 12364295860504.6 0.0 0.0 0.0 0.0 0.0 14798177897978.0 953420613.6 10 0x1300 75000 0_12 715548650.637588 62898403.96976694
4 66.0 132.0 252.0 406.0 632.0 1616.1699999999983 1.0 1.0 2.0 3.0 5.0 7.0 0.0 90.0 189.0 456.0 905.0 2694.5099999999948 0.0 3.0 3.0 6.0 9.0 15.0 0.0 0.0 0.0 1819250526766.25 1820735562058.3 1821621453864.55 0.0 0.0 0.0 6941175907.0 6945164144.0 6947357026.49 0.0 0.0 0.0 3245501582536.0 3249313311621.6 3251474765145.89 0.0 0.0 0.0 3598803963455.0 3604105519517.0 3607179752314.5 3297490821.72 300 0x1d00 75000 0_7 439433994.6102147 831875381.2659947
5 0.0 0.0 66.0 115.0 134.0 527.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 139.0 956.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 87140513866.36 0.0 0.0 0.0 0.0 0.0 328938268.64 0.0 0.0 0.0 0.0 0.0 154798437717.22 0.0 0.0 0.0 0.0 0.0 170870211310.32 3022354089.58 2 0x1d00 75000 1_3 13274068.006937578 144223935.77496576
6 0.0 66.0 154.0 280.0 457.0 1334.0 0.0 1.0 2.0 2.0 3.0 5.0 0.0 0.0 96.0 277.0 627.6000000000058 2043.5599999999977 0.0 0.0 3.0 6.0 6.0 12.0 0.0 0.0 0.0 0.0 1683216218928.0 1684541683460.24 0.0 0.0 0.0 0.0 6324356173.8 6327377059.32 0.0 0.0 0.0 0.0 2969486436945.2 2972432970262.84 0.0 0.0 0.0 0.0 3275345763857.6 3279629826015.88 1719745104.8799999 200 0x1d00 75000 1_11 308410289.38857245 355027437.83568
7 0.0 0.0 66.0 122.0 144.0 623.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 96.0 204.0 1072.5599999999977 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7348743395266.28 0.0 0.0 0.0 0.0 0.0 27141644513.7 0.0 0.0 0.0 0.0 0.0 12622894728509.26 0.0 0.0 0.0 0.0 0.0 15274629130967.3 1938591609.26 10 0x1100 75000 0_5 768693771.3479054 135955896.12236103
8 0.0 0.0 66.0 132.0 204.0 791.0 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 0.0 99.0 287.0 1270.0 0.0 0.0 0.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 0.0 3471604487749.24 0.0 0.0 0.0 0.0 0.0 12936762165.96 0.0 0.0 0.0 0.0 0.0 5963510366486.0 0.0 0.0 0.0 0.0 0.0 6715159671331.68 1247151226.6 50 0x1b00 75000 1_9 220413066.89397448 101680125.90345359
9 0.0 0.0 66.0 123.0 145.0 632.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 96.0 206.0 1094.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7429359177820.36 0.0 0.0 0.0 0.0 0.0 26469219328.52 0.0 0.0 0.0 0.0 0.0 13096656490880.92 0.0 0.0 0.0 0.0 0.0 16089105445417.64 1559755053.2 10 0xf00 75000 0_6 738193256.1187779 101981447.89304143
10 66.0 131.0 247.0 396.0 615.0 1647.8799999999974 1.0 1.0 2.0 3.0 4.0 7.0 0.0 90.0 186.0 430.0 862.0 2580.0 0.0 3.0 3.0 6.0 9.0 15.0 0.0 0.0 0.0 1862365431837.0 1863870803251.2 1864839015128.52 0.0 0.0 0.0 6668375479.0 6671802260.8 6673878084.32 0.0 0.0 0.0 3294991327795.0 3298721039045.8 3301068700279.32 0.0 0.0 0.0 3641368283472.0 3646642958674.2 3649921142453.04 3154279974.56 300 0x1d00 75000 0_2 438531624.59026986 795879023.2630464
11 0.0 0.0 66.0 115.0 135.0 507.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 144.0 937.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7538251757667.35 0.0 0.0 0.0 0.0 0.0 27451423376.76 0.0 0.0 0.0 0.0 0.0 12856381519853.86 0.0 0.0 0.0 0.0 0.0 15775172626785.06 1338821467.8 2 0xf00 75000 0_15 611415567.8417642 72356735.28288004
12 0.0 0.0 66.0 132.0 199.0 770.0 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 0.0 99.0 284.0 1247.3999999999942 0.0 0.0 0.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 0.0 7494630501549.6 0.0 0.0 0.0 0.0 0.0 26090884464.2 0.0 0.0 0.0 0.0 0.0 12875037147861.4 0.0 0.0 0.0 0.0 0.0 15639018531337.4 3024966217.4 50 0x1100 75000 0_14 995235576.0750369 271178571.10758924
13 66.0 132.0 258.0 429.0 658.0 1712.25 1.0 1.0 2.0 4.0 5.0 7.0 0.0 90.0 193.0 471.0 917.0 2625.0 0.0 3.0 3.0 6.0 9.0 15.0 0.0 0.0 0.0 5847870807467.0 5849421742320.0 5850426850460.25 0.0 0.0 0.0 22351153692.5 22355212462.0 22357586528.5 0.0 0.0 0.0 10265710693907.0 10269585515677.0 10271990132535.5 0.0 0.0 0.0 11993408550334.5 11999171846673.0 12002746419000.75 3929321398.0 300 0x1900 75000 0_3 1308640368.4349449 988352495.4895008
14 0.0 0.0 66.0 115.0 134.0 529.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 139.0 927.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 4417207737792.2 0.0 0.0 0.0 0.0 0.0 16027236281.4 0.0 0.0 0.0 0.0 0.0 7808290639010.56 0.0 0.0 0.0 0.0 0.0 8936422921228.48 2383902799.04 4 0x1900 75000 0_4 186170130.00762388 120529291.67339088
15 0.0 107.0 178.0 296.0 466.0 1312.3699999999953 0.0 1.0 2.0 3.0 3.0 5.0 0.0 0.0 97.0 287.0 644.0 2096.3699999999953 0.0 0.0 3.0 6.0 6.0 12.0 0.0 0.0 0.0 0.0 6993846811505.1 6994971368496.28 0.0 0.0 0.0 0.0 25140891008.0 25143514234.13 0.0 0.0 0.0 0.0 12364772604514.6 12367453775004.86 0.0 0.0 0.0 0.0 14872921772777.9 14877611437813.95 3542606227.22 200 0x1300 75000 0_0 2106362244.2663343 727530724.0649763
16 0.0 66.0 122.0 185.0 299.0 974.1399999999849 0.0 1.0 1.0 2.0 2.0 4.0 0.0 0.0 90.0 156.0 406.0 1613.0 0.0 0.0 3.0 3.0 5.0 9.0 0.0 0.0 0.0 0.0 7656432589924.2 7658371359324.64 0.0 0.0 0.0 0.0 28203863929.6 28208630712.96 0.0 0.0 0.0 0.0 13153512369577.2 13157781370021.18 0.0 0.0 0.0 0.0 16339219190304.2 16348023819897.2 4264054680.28 100 0xf00 75000 0_3 1514813745.7772033 548468998.4677006
17 0.0 0.0 66.0 115.0 135.0 522.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 141.0 947.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7242123613166.04 0.0 0.0 0.0 0.0 0.0 26788663376.84 0.0 0.0 0.0 0.0 0.0 12465892573917.6 0.0 0.0 0.0 0.0 0.0 15066415949022.16 1050255038.52 2 0x1100 75000 0_3 600403627.1416202 54855158.604987234
18 0.0 0.0 66.0 129.0 190.0 730.0 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 0.0 97.0 251.0 1216.6699999999837 0.0 0.0 0.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 0.0 6921921301824.92 0.0 0.0 0.0 0.0 0.0 25389600749.36 0.0 0.0 0.0 0.0 0.0 11790894406978.66 0.0 0.0 0.0 0.0 0.0 13980377077078.19 2347506298.81 40 0x1500 75000 0_15 730605880.679782 173747619.48312756
19 0.0 0.0 66.0 115.0 135.0 517.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 90.0 143.0 942.1900000000023 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 7047035863338.84 0.0 0.0 0.0 0.0 0.0 25362021515.16 0.0 0.0 0.0 0.0 0.0 12471591821532.04 0.0 0.0 0.0 0.0 0.0 15059979545927.75 439160816.8 2 0x1100 75000 0_0 549871505.5707368 21964318.238376454
20 119.0 198.0 348.0 552.0 834.0 2007.5899999999965 1.0 2.0 3.0 4.0 6.0 8.589999999996508 0.0 97.0 290.0 629.0 1145.0 3081.899999999965 0.0 3.0 6.0 9.0 12.0 18.0 0.0 0.0 0.0 3955781133771.5 3956894163386.4 3957480616515.21 0.0 0.0 0.0 14569565468.25 14572136813.3 14573557882.27 0.0 0.0 0.0 7103117484632.25 7105866854925.3 7107294233661.36 0.0 0.0 0.0 8092744168286.0 8096680987993.3 8098769406047.73 3072691026.45 400 0x1b00 75000 0_2 1198752903.9851363 1019384805.0209079
