 rx_bytes_10 rx_bytes_25 rx_bytes_50 rx_bytes_75 rx_bytes_90 rx_bytes_99 rx_desc_10 rx_desc_25 rx_desc_50 rx_desc_75 rx_desc_90 rx_desc_99 tx_bytes_10 tx_bytes_25 tx_bytes_50 tx_bytes_75 tx_bytes_90 tx_bytes_99 tx_desc_10 tx_desc_25 tx_desc_50 tx_desc_75 tx_desc_90 tx_desc_99 instructions_10 instructions_25 instructions_50 instructions_75 instructions_90 instructions_99 llc_miss_10 llc_miss_25 llc_miss_50 llc_miss_75 llc_miss_90 llc_miss_99 cycles_10 cycles_25 cycles_50 cycles_75 cycles_90 cycles_99 ref_cycles_10 ref_cycles_25 ref_cycles_50 ref_cycles_75 ref_cycles_90 ref_cycles_99 joules_99 itr dvfs qps i time_per_interrupt joules_per_interrupt
0 0.0 0.0 0.0 123.0 151.0 703.1599999999162 0.0 0.0 0.0 1.0 1.0 2.0 0.0 0.0 0.0 96.0 231.0 1162.0 0.0 0.0 0.0 3.0 3.0 3.0 0.0 0.0 0.0 0.0 0.0 3933337792034.64 0.0 0.0 0.0 0.0 0.0 11844547616.56 0.0 0.0 0.0 0.0 0.0 6893200995634.6 0.0 0.0 0.0 0.0 0.0 8296733078133.24 51742574.279999755 2 0x1300 600000 0_15 23411239.592602454 830059.2125771517
1 204.0 362.0 560.0 868.0 1331.0 2980.5599999999395 2.0 3.0 4.0 5.0 7.0 11.0 105.0 352.0 693.0 1229.0 1953.0 4438.389999999985 3.0 6.0 12.0 15.0 20.0 27.0 0.0 0.0 0.0 0.0 3946963282816.4 3960423400651.02 0.0 0.0 0.0 0.0 13126576663.1 13178900554.43 0.0 0.0 0.0 0.0 7067461416393.4 7093309726839.03 0.0 0.0 0.0 0.0 8450732321701.7 8486427266991.88 898097905.89 100 0x1500 600000 0_2 252498170.10757464 87421535.08422314
2 0.0 125.0 256.0 447.0 726.0 1946.0 0.0 1.0 2.0 3.0 4.0 6.0 0.0 97.0 286.0 597.0 1082.0 2935.0 0.0 3.0 6.0 9.0 11.0 14.0 0.0 0.0 0.0 0.0 0.0 6569198332327.68 0.0 0.0 0.0 0.0 0.0 22348605983.76 0.0 0.0 0.0 0.0 0.0 11633052882436.56 0.0 0.0 0.0 0.0 0.0 15688933907391.08 2730723432.0 50 0xf00 600000 0_4 209804803.8727461 137034796.01775235
3 0.0 0.0 119.0 199.0 363.0 1162.0 0.0 0.0 1.0 1.0 2.0 4.0 0.0 0.0 96.0 198.0 491.0 1833.0 0.0 0.0 3.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 0.0 6431715186298.94 0.0 0.0 0.0 0.0 0.0 18705168356.54 0.0 0.0 0.0 0.0 0.0 10728734684871.55 0.0 0.0 0.0 0.0 0.0 15257271665659.959 3400946797.5899997 20 0xd00 600000 0_12 84430346.06814186 76258124.94609152
4 193.0 359.0 556.0 865.0 1352.0 3017.0 2.0 3.0 4.0 5.0 7.0 12.0 107.0 368.0 702.0 1228.0 1940.0 4338.679999999993 3.0 9.0 12.0 15.0 19.0 24.0 0.0 0.0 0.0 0.0 9762829155188.6 9775672852585.68 0.0 0.0 0.0 0.0 32610790353.2 32663811474.2 0.0 0.0 0.0 0.0 17991852596077.0 18016798637290.92 0.0 0.0 0.0 0.0 23349491087923.2 23392046562541.16 1295899528.8 100 0x1100 600000 2_12 2655110311.4352465 127866438.46508294
5 1031.0 1446.0 1949.0 2611.0 3425.0 5878.659999999996 7.0 10.0 12.0 15.0 18.0 24.0 1142.0 1700.0 2494.0 3608.0 5005.0 9162.0 21.0 27.0 34.0 42.0 51.0 76.0 0.0 0.0 0.0 1571446971467.5 1579258544692.2 1584122768337.3 0.0 0.0 0.0 5125673802.0 5152192777.6 5171368246.28 0.0 0.0 0.0 2851339225989.5 2865079480330.8 2873966591010.74 0.0 0.0 0.0 3148788058588.0 3164653275000.0 3174667407887.06 2975034592.0 300 0x1b00 600000 0_4 326654461.2016862 737037143.0495286
6 188.0 356.0 553.0 864.0 1354.0 3041.0 1.0 2.0 4.0 5.0 7.0 12.0 97.0 360.0 700.0 1224.0 1940.0 4317.190000000002 3.0 8.0 12.0 15.0 18.0 24.0 0.0 0.0 0.0 0.0 6627166810518.7 6639796449394.93 0.0 0.0 0.0 0.0 22528240616.3 22579679703.77 0.0 0.0 0.0 0.0 11820521321614.2 11843425491597.41 0.0 0.0 0.0 0.0 16105124366885.5 16149405321918.02 3708046269.64 100 0xf00 600000 0_6 425258720.7519485 369382433.44628793
7 939.0 1423.0 1948.0 2640.0 3469.0 6029.400000000009 7.0 10.0 12.0 15.0 19.0 24.0 1079.0 1658.0 2469.0 3578.0 4976.0 8929.400000000023 20.0 26.0 33.0 42.0 51.0 75.0 0.0 0.0 0.0 3409199099062.0 3417202482377.0 3422046272014.8 0.0 0.0 0.0 11307217982.0 11334562835.0 11349786577.2 0.0 0.0 0.0 6127831417077.0 6141468160343.0 6149709362535.2 0.0 0.0 0.0 7179611174045.0 7198539374894.0 7209944809532.4 1030116726.0 300 0x1700 600000 0_2 658474168.787461 251123145.90717715
8 182.0 347.0 534.0 834.0 1282.0 2868.3399999999965 1.0 2.0 4.0 5.0 7.0 11.0 90.0 307.0 665.0 1201.0 1931.0 4406.3399999999965 3.0 6.0 12.0 15.0 20.0 27.0 0.0 0.0 0.0 0.0 11517526603525.6 11531216897936.22 0.0 0.0 0.0 0.0 41128208022.2 41178484070.76 0.0 0.0 0.0 0.0 20070390260696.4 20096289510178.06 0.0 0.0 0.0 0.0 28072966558307.2 28105625353446.18 548177504.18 100 0x1700 600000 1_11 850578505.0189694 52262768.36820446
9 154.0 339.0 544.0 858.0 1347.0 2984.579999999987 1.0 2.0 4.0 5.0 7.0 12.0 90.0 351.0 692.0 1213.0 1931.0 4350.0 3.0 8.0 12.0 15.0 18.0 23.0 0.0 0.0 0.0 0.0 7739634877952.0 7751769862250.42 0.0 0.0 0.0 0.0 27820237550.6 27870732003.2 0.0 0.0 0.0 0.0 13530891902526.4 13551936695929.7 0.0 0.0 0.0 0.0 19360236603606.4 19407183162735.48 1816622220.86 100 0xd00 600000 0_7 485731010.5330327 180620608.9666518
10 0.0 118.0 226.0 373.0 602.0 1701.0 0.0 1.0 1.0 2.0 3.0 5.0 0.0 90.0 195.0 471.0 917.0 2643.0 0.0 3.0 3.0 6.0 9.0 15.0 0.0 0.0 0.0 0.0 0.0 2333420686381.69 0.0 0.0 0.0 0.0 0.0 6873320034.48 0.0 0.0 0.0 0.0 0.0 4120876226217.3 0.0 0.0 0.0 0.0 0.0 4606642456349.77 1728932778.6499999 40 0x1900 600000 0_1 55116387.715138495 69725850.50950323
