 rx_bytes_10 rx_bytes_25 rx_bytes_50 rx_bytes_75 rx_bytes_90 rx_bytes_99 rx_desc_10 rx_desc_25 rx_desc_50 rx_desc_75 rx_desc_90 rx_desc_99 tx_bytes_10 tx_bytes_25 tx_bytes_50 tx_bytes_75 tx_bytes_90 tx_bytes_99 tx_desc_10 tx_desc_25 tx_desc_50 tx_desc_75 tx_desc_90 tx_desc_99 instructions_10 instructions_25 instructions_50 instructions_75 instructions_90 instructions_99 llc_miss_10 llc_miss_25 llc_miss_50 llc_miss_75 llc_miss_90 llc_miss_99 cycles_10 cycles_25 cycles_50 cycles_75 cycles_90 cycles_99 ref_cycles_10 ref_cycles_25 ref_cycles_50 ref_cycles_75 ref_cycles_90 ref_cycles_99 joules_99 itr dvfs qps i time_per_interrupt joules_per_interrupt
0 117.0 215.0 372.0 598.0 923.0 2299.0 1.0 2.0 3.0 4.0 5.0 8.0 0.0 186.0 409.0 810.0 1392.0 3522.6600000000035 0.0 3.0 9.0 12.0 15.0 18.0 0.0 0.0 0.0 0.0 7468845660711.6 7478026831469.2 0.0 0.0 0.0 0.0 25639760793.4 25671974423.84 0.0 0.0 0.0 0.0 13248550829807.8 13266143259561.92 0.0 0.0 0.0 0.0 18966567088318.4 19005812535339.22 993395090.02 100 0xd00 400000 0_6 482685416.3423346 97936400.34832123
1 434.0 650.0 955.0 1427.0 1999.0 3963.0 3.0 5.0 6.0 9.0 11.0 14.0 372.0 723.0 1244.0 1976.0 2942.0 5900.919999999998 9.0 12.0 18.0 24.0 30.0 42.0 0.0 0.0 0.0 480843315491.0 486778699943.4 490564048729.4 0.0 0.0 0.0 1570175171.0 1587906513.8 1598121471.68 0.0 0.0 0.0 879720323292.0 890500683198.6 897302439993.16 0.0 0.0 0.0 936104900947.0 948185004397.6 955080239738.12 1865514925.04 250 0x1d00 400000 0_13 110955551.10709767 458355845.38502246
2 0.0 108.0 138.0 291.0 515.0 1498.0 0.0 1.0 1.0 2.0 3.0 5.0 0.0 90.0 173.0 382.0 779.0 2349.0 0.0 3.0 3.0 6.0 9.0 12.0 0.0 0.0 0.0 0.0 0.0 10808042038650.82 0.0 0.0 0.0 0.0 0.0 36259431056.0 0.0 0.0 0.0 0.0 0.0 19833947674132.94 0.0 0.0 0.0 0.0 0.0 26607291128443.08 225865540.18999997 50 0xf00 400000 2_0 1417103654.1793194 11039391.537310226
3 0.0 0.0 112.0 134.0 255.0 921.0 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 90.0 125.0 368.0 1462.0 0.0 0.0 3.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 0.0 83223843635.52 0.0 0.0 0.0 0.0 0.0 196772434.74 0.0 0.0 0.0 0.0 0.0 146975594255.16003 0.0 0.0 0.0 0.0 0.0 215241273658.62003 1747129729.38 1 0xffff 400000 2_2 31154832.251186453 42615547.14893937
4 628.0 892.0 1362.0 1917.0 2613.0 4921.1999999999825 5.0 6.0 9.0 12.0 14.0 19.0 381.0 1052.0 1754.0 2696.0 3862.0 7324.679999999993 9.0 18.0 26.0 33.0 39.0 56.0 0.0 0.0 0.0 7332236835203.0 7336808125813.4 7339461530536.44 0.0 0.0 0.0 26035990629.0 26052884311.4 26061862590.0 0.0 0.0 0.0 12700086720195.0 12707700495433.4 12712166898668.08 0.0 0.0 0.0 17708873844206.0 17723753910799.4 17732454047402.16 3098657247.96 350 0xf00 400000 0_15 1589775621.7300642 1027416762.9880716
5 408.0 634.0 934.0 1401.0 1976.0 3932.9400000000023 3.0 4.0 6.0 9.0 11.0 14.0 313.0 699.0 1225.0 1967.0 2945.0 5935.820000000007 6.0 12.0 18.0 24.0 30.0 42.0 0.0 0.0 0.0 12728558247923.0 12734465865748.6 12738119682116.3 0.0 0.0 0.0 45130934613.5 45147539539.4 45157970884.68 0.0 0.0 0.0 22049209009666.0 22059765699814.6 22066274860838.04 0.0 0.0 0.0 30740976491799.0 30755667573292.0 30764724524019.04 936780272.04 250 0x1500 400000 1_15 2297822681.19474 228196389.99558863
6 649.0 924.0 1386.0 1931.0 2626.0 4864.30000000001 5.0 6.0 9.0 12.0 14.0 19.0 535.0 1106.0 1794.0 2696.0 3837.0 7198.700000000004 12.0 18.0 26.0 33.0 39.0 54.0 0.0 0.0 0.0 6405104906920.0 6409499820691.0 6412165971193.2 0.0 0.0 0.0 22592726491.5 22606166427.0 22614314616.5 0.0 0.0 0.0 11247504413427.0 11255194469423.0 11259756719101.4 0.0 0.0 0.0 14904729226568.5 14917987143562.0 14925817937802.4 1110050279.0 350 0x1100 400000 0_5 1384611507.2385757 363180090.1441935
7 545.0 792.0 1204.0 1722.0 2364.9000000000015 4609.580000000002 4.0 6.0 7.0 10.0 13.0 17.0 519.0 939.0 1540.0 2384.0 3438.9000000000015 6645.0 12.0 17.0 23.0 29.0 35.0 49.0 0.0 0.0 0.0 15306328861656.5 15311915228921.9 15315441396367.49 0.0 0.0 0.0 52568611908.75 52585463453.5 52596648810.19 0.0 0.0 0.0 26741138612464.75 26750739851784.9 26756898600043.02 0.0 0.0 0.0 38665458556635.75 38684253240532.1 38696175473355.82 3520714503.12 300 0xf00 400000 1_14 3298383893.353439 876418316.726856
8 0.0 111.0 139.0 289.0 510.0 1490.0 0.0 1.0 1.0 2.0 3.0 5.0 0.0 90.0 156.0 387.0 795.7000000000116 2428.0 0.0 3.0 3.0 6.0 9.0 12.0 0.0 0.0 0.0 0.0 0.0 3350639421390.5 0.0 0.0 0.0 0.0 0.0 11357641676.82 0.0 0.0 0.0 0.0 0.0 6171351115510.02 0.0 0.0 0.0 0.0 0.0 6855304508030.46 2788281564.48 50 0x1900 400000 2_7 1108111601.9426599 143039262.13113928
9 571.0 819.0 1211.0 1712.0 2346.0 4473.360000000001 4.0 6.0 8.0 10.0 12.0 17.0 560.0 951.0 1542.0 2345.0 3399.5999999999985 6784.0 12.0 17.0 23.0 29.0 35.0 47.0 0.0 0.0 0.0 1512525649195.0 1518317062606.2 1521724671332.24 0.0 0.0 0.0 4936645109.0 4954005702.6 4963709283.88 0.0 0.0 0.0 2756886419579.0 2767821059980.2 2774045181635.96 0.0 0.0 0.0 3040595259078.0 3052979319283.2 3059726947900.72 2602470574.84 300 0x1b00 400000 0_2 319411625.165104 643357985.711747
