 rx_bytes_10 rx_bytes_25 rx_bytes_50 rx_bytes_75 rx_bytes_90 rx_bytes_99 rx_desc_10 rx_desc_25 rx_desc_50 rx_desc_75 rx_desc_90 rx_desc_99 tx_bytes_10 tx_bytes_25 tx_bytes_50 tx_bytes_75 tx_bytes_90 tx_bytes_99 tx_desc_10 tx_desc_25 tx_desc_50 tx_desc_75 tx_desc_90 tx_desc_99 instructions_10 instructions_25 instructions_50 instructions_75 instructions_90 instructions_99 llc_miss_10 llc_miss_25 llc_miss_50 llc_miss_75 llc_miss_90 llc_miss_99 cycles_10 cycles_25 cycles_50 cycles_75 cycles_90 cycles_99 ref_cycles_10 ref_cycles_25 ref_cycles_50 ref_cycles_75 ref_cycles_90 ref_cycles_99 joules_99 itr dvfs qps i time_per_interrupt joules_per_interrupt
0 0.0 0.0 66.0 130.0 203.0 800.0 0.0 0.0 1.0 1.0 1.0 2.0 0.0 0.0 0.0 105.0 294.0 1310.0 0.0 0.0 0.0 3.0 3.0 4.0 0.0 0.0 0.0 0.0 0.0 5689167084347.62 0.0 0.0 0.0 0.0 0.0 16319592870.7 0.0 0.0 0.0 0.0 0.0 9490345306775.18 0.0 0.0 0.0 0.0 0.0 12716572362229.12 2442687935.68 20 0xf00 200000 0_2 128805563.93552993 94649670.99928494
1 0.0 0.0 120.0 183.0 314.0 1063.0 0.0 0.0 1.0 1.0 2.0 4.0 0.0 0.0 90.0 194.0 476.0 1790.0 0.0 0.0 3.0 3.0 6.0 9.0 0.0 0.0 0.0 0.0 0.0 169516587254.28 0.0 0.0 0.0 0.0 0.0 510310454.5 0.0 0.0 0.0 0.0 0.0 263126308876.80002 0.0 0.0 0.0 0.0 0.0 473266323310.29004 3416692467.01 50 0x1100 200000 0_11 690213303.7641635 202842267.72362477
2 321.0 509.0 772.0 1161.0 1662.5999999999985 3410.0 3.0 4.0 5.0 7.0 9.0 13.0 193.0 500.0 939.0 1586.0 2442.0 5355.820000000014 6.0 9.0 15.0 21.0 24.0 35.0 0.0 0.0 0.0 7603539345857.5 7606041869116.4 7607555540156.48 0.0 0.0 0.0 26368172503.0 26374269102.0 26378212477.38 0.0 0.0 0.0 13966908088212.5 13971878524732.8 13974923399017.64 0.0 0.0 0.0 16936644542632.0 16943955391980.6 16948450380181.08 1839844003.76 400 0x1500 200000 2_9 9841882914.05238 606829027.9025494
3 0.0 113.0 158.0 316.0 525.0 1506.0 0.0 1.0 1.0 2.0 3.0 5.0 0.0 90.0 162.0 388.0 799.0 2451.7600000000093 0.0 3.0 3.0 6.0 9.0 13.0 0.0 0.0 0.0 0.0 15805641578972.8 15810915791251.9 0.0 0.0 0.0 0.0 54523892424.2 54536179740.7 0.0 0.0 0.0 0.0 27682886462304.2 27693277011533.86 0.0 0.0 0.0 0.0 40529020503054.2 40552213935318.06 2485411999.7 100 0xd00 200000 1_12 1171769802.1406522 252253291.45741093
4 0.0 0.0 120.0 179.0 310.0 1059.0 0.0 0.0 1.0 1.0 2.0 4.0 0.0 0.0 90.0 193.0 469.0 1737.0 0.0 0.0 3.0 3.0 6.0 9.0 0.0 0.0 0.0 0.0 0.0 505423907178.52 0.0 0.0 0.0 0.0 0.0 1372722744.64 0.0 0.0 0.0 0.0 0.0 854356437681.38 0.0 0.0 0.0 0.0 0.0 1565890469175.0 843287516.22 50 0xd00 200000 0_10 702685351.8969643 49125907.19113023
5 336.0 514.0 780.0 1162.0 1668.0 3475.8199999999997 3.0 4.0 5.0 7.0 9.0 13.0 249.0 526.0 964.0 1608.0 2479.2000000000044 5164.279999999999 6.0 9.0 15.0 21.0 25.0 36.0 0.0 0.0 0.0 13955968434498.5 13958407925628.2 13959874014877.7 0.0 0.0 0.0 50074260053.5 50080874673.4 50084802785.58 0.0 0.0 0.0 24448345457955.5 24453018334222.4 24455866623556.34 0.0 0.0 0.0 34296355197142.5 34303744651086.8 34308277481155.86 1722651539.04 400 0x1300 200000 1_7 3984223425.481735 568001523.0124083
6 254.0 420.0 656.0 991.0 1463.0 3100.5 2.0 3.0 5.0 6.0 8.0 12.0 96.0 396.0 797.0 1393.0 2185.0 4746.75 3.0 9.0 12.0 18.0 23.0 32.0 0.0 0.0 0.0 8187847186620.5 8190387754180.0 8191892630835.5 0.0 0.0 0.0 29538692018.75 29545395839.0 29549271119.5 0.0 0.0 0.0 14217727313358.0 14222333387704.0 14225093853458.75 0.0 0.0 0.0 20926879638460.25 20937204585564.0 20943388181541.5 325860080.5 350 0xd00 200000 0_3 1790476517.9714622 103276697.05675356
7 227.0 370.0 583.0 883.0 1319.0 2891.5899999999965 2.0 3.0 4.0 6.0 7.0 11.0 99.0 328.0 674.0 1214.0 1944.0 4289.179999999993 3.0 6.0 12.0 15.0 21.0 29.0 0.0 0.0 0.0 587884466113.0 591296995841.9 593351451493.8 0.0 0.0 0.0 1926083208.5 1935084491.5 1940424557.21 0.0 0.0 0.0 1065687224604.25 1072648442946.2 1076875591855.23 0.0 0.0 0.0 1140163033799.75 1148262135206.4 1153107098616.02 2672360489.32 300 0x1d00 200000 0_5 148392499.15555248 662389338.548095
8 365.0 543.0 810.0 1203.0 1706.0 3571.0 3.0 4.0 6.0 7.0 10.0 13.0 291.0 567.0 996.0 1648.0 2525.0 5513.0 6.0 11.0 15.0 21.0 26.0 36.0 0.0 0.0 0.0 9091422079849.75 9093859199376.3 9095337592251.51 0.0 0.0 0.0 31177270112.25 31183454283.0 31187050041.88 0.0 0.0 0.0 15853999466907.25 15859015555738.8 15862033719387.94 0.0 0.0 0.0 23101359796531.5 23106763818244.2 23110239025674.33 2337125582.61 400 0x1d00 200000 1_14 2869008045.643701 769978171.3891228
9 0.0 0.0 111.0 135.0 249.0 893.0 0.0 0.0 1.0 1.0 2.0 3.0 0.0 0.0 90.0 112.0 356.0 1457.0 0.0 0.0 3.0 3.0 3.0 6.0 0.0 0.0 0.0 0.0 0.0 5036244234595.2 0.0 0.0 0.0 0.0 0.0 15553926288.95 0.0 0.0 0.0 0.0 0.0 8765467773836.7 0.0 0.0 0.0 0.0 0.0 11293913500158.1 3041350876.75 30 0x1100 200000 0_11 132420748.44829187 136456465.29094192
